id,name,nationality,art_movement,birth_date,death_date,age,century,zodiac,birth_country,birth_city,birth_continent,death_country,death_city,field,genre,marriage,art_institution,teaching,awards,artwork_url,style,image_genre,object,color,tone,composition,intro_url
0277,Jean Messagier,French,Lyrical abstraction||Tachisme||Nuagisme||Art informel||paysagisme abstrait,1920/7/13,1999/9/10,79,20th,Cancer,France,Montbeliard,Europe,France,Paris,Painting||Sculpture||Printmaking||Poetry,Portrait||Landscape||Abstract,Married,Large-Chenois in Montbeliard||l'Ecole Nationale des Arts Decoratifs||College de France,1,0,https://uploads5.wikiart.org/images/jean-messagier/les-indes-sur-la-rivi-re-1967.jpg!PinterestSmall.jpg,Lyrical Abstraction,Abstract,Undefined Shapes,Red,Dark,"Dynamic, Swirling",https://www.wikiart.org/en/jean-messagier/les-indes-sur-la-rivi-re-1967
0278,Miriam Schapiro,American||Canadian||Jewish,Pattern and Decoration,1923/11/15,2015/6/20,91,20th-21st,Scorpio,Canada,Toronto,North America,United States,Hampton Bays,Painting||Sculpture||Printmaking,Feminist art||Abstract art,Married,Hunter College||University of Iowa,0,0,https://uploads6.wikiart.org/images/miriam-schapiro/golden-pinwheel-1979.jpg!PinterestSmall.jpg,Feminist Art,Abstract,Circular Pattern,"Multicolored (Predominantly Yellow, Pink, Purple, And Blue)",Bright,Radial Symmetry,https://www.wikiart.org/en/miriam-schapiro/golden-pinwheel-1979
0279,Kenny Scharf,American,,1905/5/11,,,,Taurus,United States,"Los Angeles, California",North America,,,Painting||Sculpture||Fashion||Video||Performance Art||Street Art,Pop Culture,,School of Visual Arts,0,0,https://uploads8.wikiart.org/images/kenny-scharf/inner-space-1987.jpg!PinterestSmall.jpg,Lowbrow Art,Advertisement,Vodka Bottle,Green,Bright,Central Focus,https://www.wikiart.org/en/kenny-scharf/inner-space-1987
0280,Lo?s Mailou Jones,American,Harlem Renaissance,1905/11/3,1998/6/9,92,20th,Scorpio,United States,"Boston, Massachusetts",North America,United States,"Washington, D.C.",Painting||Design||Illustration,Portrait||Mask,,High School of Practical Arts in Boston||Boston Museum of Fine Arts||Boston Normal Art School||Design Art School of Boston,0,1,https://uploads7.wikiart.org/00315/images/lois-mailou-jones/we-shall-overcome-1988.jpg!PinterestSmall.jpg,Expressionism,Political,"People, Protest Signs, Symbols",Multicolored,Dynamic,Overlapping Elements,https://www.wikiart.org/en/lois-mailou-jones/we-shall-overcome-1988
0281,Vladimir Kush,American,Surrealism||Metaphorical Realism,1965/3/1,,,,Pisces,Russia,Moscow,Europe,,,Painting||Sculpture,Surrealism,,Surikov Moscow Art Institute,0,1,https://uploads3.wikiart.org/00172/images/vladimir-kush/infinity-trail-1.jpg!PinterestSmall.jpg,,Landscape,"Pathway, Ocean, Birds",Blue,Bright,Diagonal Leading Lines,https://www.wikiart.org/en/vladimir-kush/infinity-trail
0282,John Anthony Baldessari,American,Conceptual,1931/6/17,,,,Gemini,United States,National City,North America,,,Painting||Printmaking||Film||Video||Installation||Sculpture||Photography,,,"Sweetwater High School, San Diego State College",0,0,https://uploads2.wikiart.org/images/john-baldessari/suppose-it-is-true-after-all-what-then-1967.jpg!PinterestSmall.jpg,Conceptual Art,,,,,,https://www.wikiart.org/en/john-baldessari/suppose-it-is-true-after-all-what-then-1967
0283,Marie Bronislava Vorobyeva-Stebelska||Marevna,Russian,Cubism||Pointillism,1905/3/6,1984/5/4,,,,Russia,Cheboksary,Europe,,,Painting,,,Stroganov Art Academy,0,0,https://uploads4.wikiart.org/images/marevna-marie-vorobieff/portrait-of-soutine.jpg!PinterestSmall.jpg,Cubism,Portrait,Human Figure,Neutral Tones,Muted,Geometric,https://www.wikiart.org/en/marevna-marie-vorobieff/portrait-of-soutine
0284,Zdzis?aw Beksiński,Polish,Dystopian Surrealism,1929/2/24,2005/2/21,75,20th-21st,Pisces,Poland,Sanok,Europe,Poland,Warsaw,Painting||Photography||Sculpture,Surrealism||Expressionism||Abstract,,Faculty of Architecture at the Krakow Polytechnic,0,0,https://uploads0.wikiart.org/images/zdislav-beksinski/untitled-166.jpg!PinterestSmall.jpg,Surrealism,Landscape,Towering Mushroom-Like Structures,Green,Dark,Central Perspective,https://www.wikiart.org/en/zdzislaw-beksinski/untitled-496
0285,Nasreen Mohamedi,Indian,,,,,,,India,Karachi,Asia,,,Drawing,,,St. Martin's School of the Arts||Bhulabhai Institute for the Arts,0,0,https://uploads2.wikiart.org/images/nasreen-mohamedi/untitled-1970-7.jpg!PinterestSmall.jpg,Minimalism,,,,,,https://www.wikiart.org/en/nasreen-mohamedi/untitled-1970-7
0286,Cildo Meireles,Brazilian,Conceptual||Neo-Concrete,1905/5/1,,,,Taurus,Brazil,Rio de Janeiro,South America,,,Installation||Sculpture,,,Escola Nacional de Belas Artes,0,0,https://uploads8.wikiart.org/images/cildo-meireles/insertions-into-ideological-circuits-coca-cola-project-1970.jpg!PinterestSmall.jpg,Conceptual Art,Still Life,Coca-Cola Bottles,Red/White,Neutral,Trio Arrangement,https://www.wikiart.org/en/cildo-meireles/insertions-into-ideological-circuits-coca-cola-project-1970
0287,Bruce Nauman,American,,1941/12/6,,,,Gemini,United States,Fort Wayne,North America,,,Sculpture||Photography||Neon||Video||Drawing||Printmaking||Performance,,,"University of Wisconsin–Madison||University of California, Davis",0,0,https://uploads3.wikiart.org/images/bruce-nauman/my-name-as-though-it-were-written-on-the-surface-of-the-moon-1968.jpg!PinterestSmall.jpg,Minimalism,,,,,,https://www.wikiart.org/en/bruce-nauman/my-name-as-though-it-were-written-on-the-surface-of-the-moon-1968
0288,El Anatsui,Ghanaian||Nigerian,,1905/4/27,,,,Taurus,Ghana,,Africa,,,Sculpture,Installation,,"College of Art, University of Science and Technology, in Kumasi, in central Ghana",0,0,https://uploads8.wikiart.org/00105/images/el-anatsui/gli-wall-2010.jpg!PinterestSmall.jpg,Junk Art,Abstract,"Wall, Metal Pieces",Earth Tones,Neutral,Spatial Arrangement,https://www.wikiart.org/en/el-anatsui/gli-wall-2010
0289,Jerry W. McDaniel,American,Modernism,,,,,,USA,Zaleski,North America,,,Graphics||Illustration||Painting||Communication Design,Landscape||Portrait||Sports||Political Graphics,,Columbus College of Art and Design,0,0,https://uploads2.wikiart.org/00105/images/jerry-w-mcdaniel/sunrise-in-mallorca.jpg!PinterestSmall.jpg,Pop Art,Landscape,"Clouds, Water, Land",Blue,Dark,Horizontal Layers,https://www.wikiart.org/en/jerry-w-mcdaniel/sunrise-in-mallorca-2011
0290,Eva Hesse,American||Jewish||German,Postminimalism,1936/1/11,1970/5/29,34,20th,,Germany,Hamburg,Europe,,,Sculpture,,Divorced,New York's School of Industrial Art||Yale University,0,0,https://uploads4.wikiart.org/images/eva-hesse/untitled-1965-1.jpg!PinterestSmall.jpg,Feminist Art,Abstract,Geometric Shape,Neutral,Light,"Simple, Minimal",https://www.wikiart.org/en/eva-hesse/untitled-1965-1
0291,Jesús Rafael Soto,Venezuelan,Op art||Kinetic art,1923/6/5,2005/1/14,81,20th-21st,Gemini,Venezuela,Ciudad Bolivar,South America,,,Sculpture||Painting,Abstract||Geometric,,Escuela de Artes Plasticas y Artes Aplicadas,1,1,https://uploads4.wikiart.org/images/jes-s-rafael-soto/vibration-superieure-1998.jpg!PinterestSmall.jpg,Op Art,Abstract,Squares And Rectangles,"Orange, Red, Green, And Black",Neutral,"Balanced, Geometric Arrangement",https://www.wikiart.org/en/jesus-rafael-soto/vibration-superieure-1998
0292,Gianni Piacentino,Italian,Minimalism,1905/4/28,,,,Taurus,Italy,Coazze,Europe,,,Sculpture||Painting,Motorcycle||Automobile||Plane themes,,,0,0,https://uploads2.wikiart.org/images/gianni-piacentino/dull-amaranth-disk-1966.jpg!PinterestSmall.jpg,Minimalism,Still Life,Circular Platform,Purple,Neutral,Centered,https://www.wikiart.org/en/gianni-piacentino/dull-amaranth-disk-1966
0293,Banksy,English,Street Art||Graffiti,,,,,,England,,Europe,,,Graffiti||Film,Satirical||Political,,,0,0,https://uploads0.wikiart.org/images/banksy/bethlehem-2005.jpg!PinterestSmall.jpg,Street art,Landscape,"Children, Fence, Beach","Grey, Blue, Green",Neutral,Central Focus With Juxtaposition,https://www.wikiart.org/en/banksy/bethlehem-2005
0294,Charles Henry Alston,American,Harlem Renaissance,1907/11/28,1977/4/27,69,20th,Sagittarius,United States,Charlotte,North America,,,Painting||Sculpture||Illustration||Mural,,,,0,0,https://uploads7.wikiart.org/00315/images/charles-alston/charles-henry-alston-the-family-1955-1-15-18-whitneymuseum-26123979297.jpg!PinterestSmall.jpg,Expressionism,Portrait,People,Blue,Neutral,Cubist,https://www.wikiart.org/en/charles-alston/the-family-1955
0295,Prudence Heward,Canadian,,1896/7/2,1947/3/19,50,19th-20th,Cancer,Canada,Quebec,North America,United States,"Los Angeles, California",Painting,Figure,,Art Association of Montreal school,0,0,https://uploads6.wikiart.org/images/prudence-heward/anna-c-1927.jpg!PinterestSmall.jpg,Expressionism,Portrait,"Person Sitting In The Snow, With Trees And Buildings In The Background",Red,Neutral,Balanced,https://www.wikiart.org/en/prudence-heward/anna-c-1927
0296,Robert Rauschenberg,American,Pop Art||Neo Dadaist,1925/10/22,2008/5/12,82,20th-21st,Libra,United States,Port Arthur,North America,United States,Captiva Island,Painting||Sculpture||Photography||Printmaking||Papermaking||Performance,Combines,Married,Académie Julian||National Academy of Design||Black Mountain College||Art Students League of New York,0,2,https://uploads8.wikiart.org/00238/images/robert-rauschenberg/untitled-feticcio-personale-rome-1952.jpg!PinterestSmall.jpg,Neo-Dada,Sculpture,Bust On A Pedestal,Monochrome,Neutral,Centralized,https://www.wikiart.org/en/robert-rauschenberg/untitled-feticcio-personale-rome-1952
0297,Matthias Laurenz Gr?ff,Austrian,,1984/7/19,,,,Cancer,Austria,Gars am Kamp,Europe,,,Painting,,,University of Applied Arts Vienna||New Design University St. P?lten||Summer academy of Geras,0,1,https://uploads8.wikiart.org/00298/images/matthias-laurenz-graff/dsc06042-5.JPG!PinterestSmall.JPG,Expressionism,Portrait,"Woman, Bird On A Plate","Predominantly Warm Colors (Pinks, Browns)",Neutral,Centralized Composition,https://www.wikiart.org/en/matthias-laurenz-graff/die-mahlzeit
0298,Lubo Kristek,Czech,,1943/5/8,,,,Leo,Czech Republic,,Europe,,,Sculpture||Painting||Performance,,,,0,0,https://uploads0.wikiart.org/00198/images/lubo-kristek-in-landsberg/lubo-kristek-2007-requiem-f-r-die-mobiltelephone-wien.jpg!PinterestSmall.jpg,Conceptual Art,Street Scene,"Ballerina, People, Painting Materials",Various/Multi-Colored,Bright,Central Focus With Surrounding Audience,https://www.wikiart.org/en/lubo-kristek/requiem-for-mobile-telephones-2010
0299,Remedios Varo Uranga,Spanish||Mexican||Catalan,Surrealism,1908/12/16,1963/10/8,54,20th,Sagittarius,Spain,Angles,Europe,Mexico,Mexico City,Painting,Surrealism,,,0,0,https://uploads8.wikiart.org/images/remedios-varo/gypsy-and-harlequin-1947.jpg!PinterestSmall.jpg,Surrealism,Fantasy,"Two Figures, Distorted Reflections","Earthy Tones, Blue",Neutral,"Asymmetrical, Depth Perspective",https://www.wikiart.org/en/remedios-varo/gypsy-and-harlequin-1947
0300,Ellen Gallagher,American,Minimalism||Abstract,1965/12/16,,,,Sagittarius,United States,Providence,North America,,,Painting||Mixed media,Abstract||Narrative,,Moses Brown||Oberlin College||Studio 70||School of the Museum of Fine Arts||Skowhegan School of Painting and Sculpture,0,0,https://uploads3.wikiart.org/00333/images/ellen-gallagher/igbt-2008.png!PinterestSmall.png,Contemporary,Portrait,"Silhouettes, Circuit Pattern",Gold,Neutral,Centralized,https://www.wikiart.org/en/ellen-gallagher/igbt-2008
0301,Piero Gilardi,Italian||Swiss,Arte Povera,1905/4/25,,,,,Italy,Turin,Europe,,,Visual Art,,,Liceo Artistico,0,0,https://uploads4.wikiart.org/images/piero-gilardi/totem-domestico-1964.jpg!PinterestSmall.jpg,Post-Minimalism,,,,,,https://www.wikiart.org/en/piero-gilardi/totem-domestico-1964
0302,Alberto Carneiro,Portuguese,Minimal||British Conceptual Art||Land Art,1937/9/20,2017/4/15,79,20th-21st,Virgo,Portugal,Sao Mamede de Coronado,Europe,,,Sculpture,Conceptual Art||Land Art,,Saint Martin's School of Ar||University of Porto,1,1,https://uploads6.wikiart.org/images/alberto-carneiro/evoca-es-d-gua-1992.jpg!PinterestSmall.jpg,Environmental (Land) Art,Sculpture,Twisting Wooden Branches,Brown,Neutral,Vertical Arrangement,https://www.wikiart.org/en/alberto-carneiro/evoca-es-d-gua-1992
0303,Felix Gonzalez-Torres,American||Cuban,Minimalism,1957/11/26,1996/1/9,38,20th,Sagittarius,Cuba,Guaimaro,North America,United States,Miami,Visual art||Installation||Sculpture,Minimal,,University of Puerto Rico||Pratt Institute of Art||International Center of Photography,1,2,https://uploads5.wikiart.org/images/felix-gonzalez-torres/untitled-perfect-lovers-1990(1).jpg!PinterestSmall.jpg,Conceptual Art,Still Life,Clocks,White,Neutral,Symmetrical,https://www.wikiart.org/en/felix-gonzalez-torres/untitled-perfect-lovers-1990
0304,Winifred Nicholson,British,Impressionism,1893/12/21,1981/3/5,87,19th-20th,Sagittarius,United Kingdom,Oxford,Europe,United Kingdom,Carlisle,Painting,Still life||Landscape,Divorced,Byam Shaw School of Art,0,0,https://uploads4.wikiart.org/images/winifred-nicholson/sandpipers-alnmouth-1933.jpg!PinterestSmall.jpg,Post-Impressionism,Landscape,"River, Land, Birds",Earth Tones,Neutral,Horizontal,https://www.wikiart.org/en/winifred-nicholson/sandpipers-alnmouth-1933
0305,Mihai Olos,Romanian,Conceptual Art||Constructivism||Neo-avant-garde,1940/2/26,2015/2/22,74,20th-21st,Pisces,Romania,Arinis,Europe,Germany,Amoltern,Painting||Sculpture||Poetry||Essay,Constructivist,,,1,1,https://uploads3.wikiart.org/00328/images/mihai-olos/untitled-1908-2.jpg!PinterestSmall.jpg,Conceptual Art,Sculpture,Wooden Beams,Monochrome/Gray,Neutral,Asymmetrical,https://www.wikiart.org/en/mihai-olos/untitled-1980-0
0306,Xavier Prou,French,Stencil graffiti||Graffiti art||Urban art,1952/11/15,,,,Scorpio,France,Boulogne-Billancourt,Europe,,,Graffiti,Stencil art,Married,,0,0,https://uploads5.wikiart.org/images/blek-le-rat/occupational-force-2006.jpg!PinterestSmall.jpg,Street art,Portrait,Soldier,"Blue, Yellow",Neutral,Centered Figure With Geometric Elements,https://www.wikiart.org/en/blek-le-rat/occupational-force-2006
0307,Zeng Fanzhi,Chinese,Expressionism,1905/5/17,,,,,China,Wuhang,Asia,,,Painting,Contemporary||Expressionism,,Hubei Academy of Fine Arts,0,0,https://uploads4.wikiart.org/00166/images/tszen-fanchzhi/zeng-fanzhi-huang.jpg!PinterestSmall.jpg,,Landscape,"Person, Branches",Dark Blue,Dark,"Dynamic, Chaotic",https://www.wikiart.org/en/tszen-fanchzhi/huang-jiguang-2006
0308,Jules Adolphe Aimé Louis Breton,French,Realism,1827/5/1,1906/7/5,79,19th-20th,,France,Courrières,Europe,,,Painting,Rural,,"College St. Bertin||Academy of Fine Arts, Ghent||école des Beaux-Arts",0,0,https://uploads1.wikiart.org/00342/images/jules-breton/61fd6b3d-01f5-4242-bd97-d8a1e48ba4ca.jpg!PinterestSmall.jpg,Realism,Genre Painting,"Woman, Haystack",Earth Tones,Neutral,Balanced,https://www.wikiart.org/en/jules-breton/a-rest-in-the-fields-1866
0309,Peter Laszlo Peri,Hungarian,Constructivism,1899/6/13,1967/1/19,67,19th-20th,Gemini,Hungary,Budapest,Europe,,,Sculpture||Painting,Abstract||Representational,,MA Theater School,0,0,https://uploads5.wikiart.org/images/peter-laszlo-peri/space-construction-vi-1923.jpg!PinterestSmall.jpg,Constructivism,,Shapes,Gray,Neutral,Balanced,https://www.wikiart.org/en/peter-laszlo-peri/space-construction-vi-1923
0310,George Warren Rickey,American,Kinetic Art,1907/6/6,2002/7/17,95,20th-21st,Gemini,United States,South Bend,North America,United States,Saint Paul,Sculpture,,,Glenalmond College||Balliol College||Ruskin School of Drawing||Académie L'Hote||Académie ModerneNew York University Institute of Fine Arts||Chicago Institute of Design,0,0,https://uploads1.wikiart.org/images/george-rickey/conversation-1999.jpg!PinterestSmall.jpg,Kinetic Art,Sculpture,Geometric Shapes,Metallic,Neutral,Vertical Emphasis,https://www.wikiart.org/en/george-rickey/conversation-1999
0311,Beatriz González,Colombian,Pop Art,1938/11/16,,,,Scorpio,Colombia,Bucaramanga,South America,,,Painting||Sculpture||Criticism||Curating||Art History,,Married,University of Los Andes,0,1,https://uploads5.wikiart.org/00322/images/beatriz-gonzalez/sketch-for-elementary-landscapes-fire-in-the-sierra-2017.jpg!PinterestSmall.jpg,Outsider art,Landscape,"Trees, Houses",Purple,Neutral,Simplified,https://www.wikiart.org/en/beatriz-gonzalez/sketch-for-elementary-landscapes-fire-in-the-sierra-2017
0312,Ansel Easton Adams,American,,1902/2/20,1984/4/22,82,20th,Pisces,United States,San Francisco,North America,United States,Monterey,Photography||Environmentalism,Landscape,,,0,0,https://uploads4.wikiart.org/images/ansel-adams/manzanar-baseball-1943.jpg!PinterestSmall.jpg,,Landscape,"Baseball Game, Spectators",Black And White,Neutral,"Horizontal Emphasis, Foreground Crowd",https://www.wikiart.org/en/ansel-adams/manzanar-baseball-1943
0313,Vija Celmins,American||Latvian,Photorealism||Pop Art,1938/10/25,,,,Scorpio,Latvia,Riga,Europe,,,Painting||Sculpture||Drawing||Printmaking,Photorealism||Still Life,,John Herron School of Art||Yale University||University of California at Los Angeles,1,1,https://uploads8.wikiart.org/images/vija-celmins/night-sky-2-reversed-2002.jpg!PinterestSmall.jpg,Photorealism,Abstract,Dots,Beige,Neutral,Grid-Like,https://www.wikiart.org/en/vija-celmins/night-sky-2-reversed-2002
0314,Robert Smithson,American,Minimalism,1938/1/2,1973/7/20,35,20th,,United States,Passaic,North America,United States,Texas,Sculpture||Land Art||Photography||Writing,Collage||Earthworks,Married,Art Students League of New York||Brooklyn Museum School,0,0,https://uploads6.wikiart.org/images/robert-smithson/asphalt-rundown-1969.jpg!PinterestSmall.jpg,Environmental (Land) Art,Landscape,Dump Truck On A Hillside,Earth Tones,Neutral,Asymmetrical,https://www.wikiart.org/en/robert-smithson/asphalt-rundown-1969
0315,Lisa Yuskavage,American,Contemporary Art,1962/5/16,,,,Taurus,United States,Philadelphia,North America,,,Painting,Figure Painting||Landscape||Still Life,,Yale School of Art at Yale University||Tyler School of Art at Temple University,0,0,https://uploads8.wikiart.org/00309/images/lisa-yuskavage/couple-in-bed-2017.jpg!PinterestSmall.jpg,Fantasy Art,Portrait,Two People,Earth Tones,Neutral,Diagonal Arrangement,https://www.wikiart.org/en/lisa-yuskavage/couple-in-bed-2017
0316,Vik Muniz,Brazilian,Postmodernism,1961/1/1,,,,,Brazil,Sao Paulo,South America,,,Photography||Sculpture,,,,0,2,https://uploads4.wikiart.org/images/vik-muniz/fairy-roses-after-fantin-latour-pictures-of-magazines-2-2012.jpg!PinterestSmall.jpg,Conceptual Art,Still Life,Flowers In A Vase,White,Neutral,Central Focus,https://www.wikiart.org/en/vik-muniz/fairy-roses-after-fantin-latour-pictures-of-magazines-2-2012
0317,Pieter Willem Frederick Wenning,South African,Cape Impressionism,1873/9/9,1921/1/24,47,19th-20th,Virgo,Netherlands,The Hague,Europe,,,Painting||Etching,,,Hogere Burgerschool,0,0,https://uploads2.wikiart.org/images/pieter-wenning/at-claremont-cape-province.jpg!PinterestSmall.jpg,Impressionism,Landscape,"Trees, Building",Earth Tones,Warm,Balanced,https://www.wikiart.org/en/pieter-wenning/at-claremont-cape-province
0318,Charles Wilbert White,American,,1918/4/2,1979/10/3,61,20th,Aries,United States,Chicago,North America,United States,Los Angeles,Painting||Mural,,,Art Institute of Chicago,1,1,https://uploads5.wikiart.org/images/charles-wilbert-white/the-contribution-of-the-negro-to-democracy-in-america-1943.jpg!PinterestSmall.jpg,Muralism,Figurative,Human Figures,Dark Brown,Dark,"Complex, Dynamic",https://www.wikiart.org/en/charles-wilbert-white/the-contribution-of-the-negro-to-democracy-in-america-1943
0319,Theodoros Stamos,American||Greek,Abstract Expressionism,1922/12/31,1997/2/2,74,20th,,United States,New York City,North America,Greece,,Painting,,,American Artists School,0,1,https://uploads1.wikiart.org/images/theodoros-stamos/delphic-shibboleth-1959.jpg!PinterestSmall.jpg,Color Field Painting,,,Blue,Neutral,Asymmetrical,https://www.wikiart.org/en/theodoros-stamos/delphic-shibboleth-1959
0320,Matthew Barney,American,Contemporary,1967/3/25,,,,Aries,United States,San Francisco,North America,,,Sculpture||Film||Photography||Drawing,Avant-garde,Divorced,Yale University,0,1,https://uploads6.wikiart.org/00324/images/matthew-barney/what-else-mag-cultura-fotografia-matthew-barney-03.jpg!PinterestSmall.jpg,Performance Art,Mythological,Mythical Creatures,Black And White,Neutral,"Dynamic, Diagonal",https://www.wikiart.org/en/matthew-barney/drawing-restraint-7-1993
0321,James Lesesne Wells,American,Harlem Renaissance,1902/11/2,1993/1/20,90,20th,Scorpio,United States,Atlanta,North America,United States,Washington,Painting||Graphic Art||Sculpture,,,Lincoln University||Columbia University||National Academy of Design,1,3,https://uploads5.wikiart.org/00216/images/james-lesesne-wells/orpheus-and-the-sirens-1983.jpg!PinterestSmall.jpg,Expressionism,Landscape,"People, Boat, Water, Mountains",Green,Dark,Dynamic,https://www.wikiart.org/en/james-lesesne-wells/orpheus-and-the-sirens-1983
0322,Adolph Gottlieb,American||Jewish,Abstract Expressionism,1903/3/14,1974/3/4,70,20th,Pisces,United States,New York,North America,United States,New York,Painting||Sculpture||Printmaking,Surrealism||Abstract,,Art Students League of New York||Parsons School of Design||Cooper Union||Educational Alliance,0,0,https://uploads2.wikiart.org/images/adolph-gottlieb/untitled-1967(1).jpg!PinterestSmall.jpg,Abstract Expressionism,,Circles,Blue,Dark,Centralized,https://www.wikiart.org/en/adolph-gottlieb/untitled-1967-5
0323,Giuseppe Penone,Italian,Arte povera,1947/4/3,,,,Pisces,Italy,Garessio,Europe,,,Sculpture||Installation||Drawing,,,Accademia Albertina,0,0,https://uploads4.wikiart.org/00220/images/giuseppe-penone/giuseppe-penone-the-hidden-life-within.jpg!PinterestSmall.jpg,Environmental (Land) Art,Sculpture,Tree,Brown,Neutral,Vertical,https://www.wikiart.org/en/giuseppe-penone/he-hidden-life-within-2011
0324,Franz Kline,American,Abstract Expressionism,1910/5/23,1962/5/13,51,20th,Gemini,United States,Wilkes-Barre,North America,United States,New York City,Painting,Landscape||Cityscape||Portrait,,Boston University||Heatherley School of Fine Art,0,0,https://uploads4.wikiart.org/images/franz-kline/cardinal-1950.jpg!PinterestSmall.jpg,Action painting,,,Black And White,Neutral,Dynamic,https://www.wikiart.org/en/franz-kline/cardinal-1950
0325,Fikret Mualla Sayg?,French||Turkish,Avant-garde,1904/1/1,1967/7/20,63,20th,,Turkey,Kadikoy,Europe,France,Reillanne,Painting,,Unmarried,,1,0,https://uploads1.wikiart.org/images/fikret-mualla-saygi/pembe-kahve.jpg!PinterestSmall.jpg,Fauvism,Genre Scene,"People, Bar Setting",Pink,Bright,Asymmetrical,https://www.wikiart.org/en/fikret-mualla-saygi/pembe-kahve
0326,Burhan C. Do?an?ay,Turkish,Nouveau Réalisme,1929/9/11,2013/1/16,83,20th-21st,Virgo,Turkey,Istanbul,Europe,Turkey,Istanbul,Painting||Collage||Assemblage||Photography,Wall Art,Married,Academie de la Grande Chaumiere,0,0,https://uploads2.wikiart.org/images/burhan-dogancay/new-york-john-lennon-1980.jpg!PinterestSmall.jpg,Pop Art,Portrait,Human Face,Yellow And Blue,Neutral,Asymmetrical,https://www.wikiart.org/en/burhan-dogancay/new-york-john-lennon-1980
0327,Ming Smith,American,Surrealism,1947/1/1,,,,,United States,Detroit,North America,,,Photography,Surrealism||Documentary,,Howard University,0,0,https://uploads0.wikiart.org/00335/images/ming-smith/sun-ra-space-ii-new-york-1978.jpg!PinterestSmall.jpg,,Portrait,Musicians,Black And White,Dark,"Dynamic, Motion Capture",https://www.wikiart.org/en/ming-smith/sun-ra-space-ii-new-york-1978
0328,Alexander Calder,American,,1898/7/20,1976/11/11,78,19th-20th,Cancer,United States,Lawnton,North America,United States,New York,Sculpture||Painting||Printmaking,Abstract,Unmarried,,0,2,https://uploads7.wikiart.org/images/alexander-calder/spring-1928.jpg!PinterestSmall.jpg,Expressionism,Sculpture,Wire Outline Of A Person Holding A Flower,Gray,Neutral,"Linear, Outline",https://www.wikiart.org/en/alexander-calder/spring-1928
0329,Vladimir Victorovich Kibalchich Rusakov,Mexican,,1920/6/15,2005/7/21,85,20th-21st,Gemini,Russian Federation,Saint Petersburg,Europe,Mexico,Cuernavaca,Painting,,,,0,1,,,,,,,,
0330,Louis Schanker,American,Cubism||Abstract,1903/1/1,1981/1/1,78,20th,,USA,New York,North America,,,Painting||Graphic Arts,Abstract,,Cooper Union||The Educational Alliance||The Art Students League||Académie de la Grande Chaumière,0,0,https://uploads1.wikiart.org/images/louis-schanker/abstract-composition-1944.jpg!PinterestSmall.jpg,Abstract Expressionism,Abstract,"Crosses, Lines, Symbols",Blue,Dark,Asymmetrical,https://www.wikiart.org/en/louis-schanker/abstract-composition-1944
0331,Carlos D. Almaraz,American||Mexican,Chicano,1941/10/5,1989/12/11,48,20th,Libra,Mexico,Mexico City,North America,United States,Los Angeles,Painting,,,Los Angeles City College||Loyola Marymount University||California State University||Otis College of Art and Design||University of California,1,0,https://uploads1.wikiart.org/00330/images/carlos-almaraz/sunset-crash-1982.jpg!PinterestSmall.jpg,Neo-Expressionism,Landscape,"Highway, Explosions",Blue,Bright,Dynamic,https://www.wikiart.org/en/carlos-almaraz/sunset-crash-1982
0332,Beauford Delaney,American,Modernism||Abstract Expressionism||Harlem Renaissance,1901/12/30,1979/3/26,77,20th,,United States,Knoxville,North America,France,Paris,Painting,Portrait||Abstract,,Massachusetts Normal School||South Boston School of Art||Copley Society,0,0,https://uploads1.wikiart.org/00315/images/beauford-delaney/portrait-of-a-bearded-young-man-reading-1972.jpg!PinterestSmall.jpg,Expressionism,Portrait,Person With A Book,Blue,Neutral,"Centralized, Symmetrical",https://www.wikiart.org/en/beauford-delaney/portrait-of-a-bearded-young-man-reading-1972
0333,Joseph Beuys,German,Fluxus,1921/1/1,1986/1/1,65,20th,,Germany,Krefeld,Europe,Germany,Dusseldorf,Performance Art||Sculpture||Installation||Graphic Art||Art Theory,,,,1,0,https://uploads0.wikiart.org/00389/images/joseph-beuys/1620748969686-beuys-fett-stuhl-100-v-1x1-2dl-029cdd853d61a51824ed2ee643deeae504b065c1.jpg!PinterestSmall.jpg,Conceptual Art,Still Life,"Chair, Foam","Neutral Tones (Beige, Brown)",Neutral,Asymmetrical,https://www.wikiart.org/en/joseph-beuys/fat-chair-1964-1
0334,Christo Coetzee,South African,Assemblage||Neo-Baroque,1929/3/24,2000/11/12,71,20th-21st,Aries,South Africa,Johannesburg,Africa,South Africa,Tulbagh,Assemblage,,Married,University of the Witwatersrand||Slade School of Art,0,0,https://uploads7.wikiart.org/images/christo-coetzee/pompeian-lobster-1954.jpg!PinterestSmall.jpg,Expressionism,Still Life,"Fish, Fruits, Bird, Trident, Pitcher",Yellow,Bright,Asymmetrical,https://www.wikiart.org/en/christo-coetzee/pompeian-lobster-1954
0335,Jean Hélion,French,Abstract||Figurative,1904/4/21,1987/10/27,83,20th,Taurus,France,Couterne,Europe,,,Painting||Writing,Abstract||Still life||Figurative,,Ecole centrale de Lille,0,0,https://uploads7.wikiart.org/images/jean-helion/au-cycliste-1939.jpg!PinterestSmall.jpg,Cubism,Figurative,"Man, Woman, Bicycle",Neutral Tones,Muted,Geometric,https://www.wikiart.org/en/jean-helion/au-cycliste-1939
