company_name,registered_office,exchange_code,principal_activities,board_members,executive_profiles,revenue,net_profit_or_loss,total_Debt,total_assets,cash_reserves,net_assets,earnings_per_share,dividend_per_share,largest_shareholder,the_highest_ownership_stake,major_equity_changes,major_events,bussiness_sales,bussiness_profit,bussiness_cost,business_segments_num,business_risks,remuneration_policy,auditor,ID
Microsoft Corporation,"One Microsoft Way, Redmond, Washington 98052-6399",NASDAQ,Technology,Satya Nadella||Reid G. Hoffman||Hugh F. Johnston||Teri L. List||Sandra E. Peterson||Penny S. Pritzker||Carlos A. Rodriguez||Charles W. Scharf||John W. Stanton||John W. Thompson||Emma N. Walmsley||Padmasree Warrior,Satya Nadella||Judson Althoff||Christopher C. Capossela||Kathleen T. Hogan||Amy E. Hood||Bradford L. Smith||Christopher D. Young,1.9827E+11,72738000000,47032000000,3.6484E+11,13931000000,1.66542E+11,9.65,2.48,,,No,M&A||Litigation,"198,270,000,000",83383000000,62650000000,3,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk,Performance-based||Stock Option||Mixed,Deloitte & Touche LLP,48
James Halstead plc,"Beechfield, Hollinhurst Road, Radcliffe, Manchester, M26 1JN",AIM,Manufacturing||Retail,J A Wild||M Halstead||G R Oliver||S D Hall||M J Halstead||R P Whiting,M Halstead||G R Oliver||D N Fletcher,396056939,54725493,8025357,365951672,70759929,235112839,0.1316,0.1058,Rulegale Nominees,17.7,Yes,Other,396056939,70914629,242029519,1,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk ||Environmental Risk||Strategic Risk,Mixed,BDO LLP,49
Infinera Corporation,"6373 San Ignacio Avenue, San Jose, California 95119",NASDAQ,Technology||Manufacturing,"Roop K. Lakkaraju||Amy H. Rice||George A. Riedel||David W. Heard||Paul J. Milbury||David F. Welch, Ph.D.||Christine B. Bucklin||Gregory P. Dougherty||Sharon E. Holt",David W. Heard||Nancy L. Erba||David L. Teichmann||Nicholas R. Walden,1573242000,-76043000,667700000,1669138000,178657000,179647000,-0.35,,FMR LLC,14.66,No,,1573242000,535776000,1037466000,1,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk,Mixed,Ernst & Young LLP,50
"Odyssey Group Holdings, Inc.","300 Madison Avenue, New York",,Finance,,,5600200000,165500000,,19325900000,783900000,5301500000,,,Fairfax Financial Holdings Limited,90.01,Yes,Other,5666300000,165500000,5442600000,1,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk,Not Disclosed,PricewaterhouseCoopers LLP,51
Ritchie Bros. Auctioneers Incorporated,"9500 Glenlyon Parkway, Burnaby, British Columbia, Canada V5J 0C6",NYSE,Finance,Robert G. Elton||Adam DeWitt||Adam DeWitt||Sarah E. Raiss||Christopher Zimmerman||Lisa Hook||Mahesh Shah||Carol Stephenson,Ann Fandozzi||Eric Jacobs||Erik Olsson,1733808000,417174000,610600000,2863727000,494324000,319657000,2.89,0.25,,,No,,1733808000,355493000,776701000,3,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk,Mixed,Ernst & Young LLP,52
"Atreca, Inc.","835 Industrial Road, Suite 400, San Carlos, CA 94070",NASDAQ,Healthcare,John A. Orwin||Brian Atwood||Kristine M. Ball||Franklin Berger||David Lacey||William H. Robinson||Stacey Ma||Stephen Brady||Lindsey Rolfe||Tito A. Serafini,John A. Orwin||Herbert Cross||Tito A. Serafini||Stephen Gould||Philippe Bishop,,-97157000,,155030000,30819000,78406000,-2.52,,"Baker Brothers Life Sciences L.P. and 667, L.P.",,No,Restructuring||Leadership Change,,,70761000,1,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk||Other,Mixed,"WithumSmith+Brown, PC",53
"Enact Holdings, Inc.","8325 Six Forks Road, Raleigh, North Carolina 27615",NASDAQ,Finance,Dominic Addesso||Michael A. Bless||Debra W. Still||John D. Fisk||Sheila Hooda||Robert P. Restrepo Jr.||Westley V. Thompson||Anne G. Waleski||Thomas J. McInerney||Daniel J. Sheehan IV||Rohit Gupta,Rohit Gupta||Hardin Dean Mitchell||James McMullen,1095046000,704157000,742830000,5709149000,513775000,4100908000,4.32,1.54,"Genworth Financial, Inc.",80,Yes,Major Contract||Leadership Change||Other,1095046000,704157000,196824000,1,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk,Mixed,KPMG LLP,54
Alcoa Corporation,"201 Isabella Street, Suite 500, Pittsburgh, Pennsylvania 15212-5858",NYSE,Mining,Steven W. Williams||Mary Anne Citrino||Pasquale Fiore||Thomas J. Gorman||Roy C. Harvey||James A. Hughes||Carol L. Roberts||Jackson P. Roberts||Ernesto Zedillo,Roy C. Harvey||Molly S. Beerman||Renato Bacchi||Sonya Elam Harden||Jeffrey D. Heeter||Tammi A. Jones||William F. Oplinger||Kelly R. Thomas,12451000000,-123000000,1807000000,14756000000,1363000000,6589000000,-0.68,0.4,,,Yes,Restructuring||Litigation||Major Contract||Other,14920000000,261000000,13136000000,3,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk,Not Disclosed,PricewaterhouseCoopers LLP,55
Incyte Corporation,"1801 Augustine Cut-Off, Wilmington, DE 19803",NASDAQ,Healthcare,Herv   Hoppenot,Herv   Hoppenot||Dashyant Dhanak||Jonathan E. Dickinson||Barry P. Flannelly||Vijay Iyengar||Michael Morrissey||Maria E. Pasquale||Christiana Stamoulis||Steven Stein||Paula J. Swain,3394635000,340660000,,3372641000,2951422000,,1.53,,,,Yes,Restructuring||Major Contract||Other,2746897000,,2795073000,2,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk,Mixed,Ernst & Young LLP,56
"HCA Healthcare, Inc.","One Park Plaza, Nashville, Tennessee 37203",HCA,Healthcare,"Thomas F. Frist III||Meg G. Crofton||Robert J. Dennis||Nancy-Ann DeParle||William R. Frist||Charles O. Holliday, Jr.||Hugh F. Johnston||Michael W. Michelson||Wayne J. Riley||Andrea B. Smith","Samuel N. Hazen||Erol R. Akdamar||Jennifer L. Berres||Phillip G. Billington||Jeff E. Cohen||Michael S. Cuffe||Jon M. Foster||Richard A. Hammett||Michael A. Marks||Michael R. McAlevey||Timothy M. McManus||Sammie S. Mosier||P. Martin Paslick||Deborah M. Reiner||William B. Rutherford||Joseph A. Sowell, III||Kathryn A. Torres||Kathleen M. Whalen||Christopher F. Wyatt",60233000000,5643000000,38084000000,52438000000,908000000,-73000000,19.15,2.24,Hercules Holding II and the Frist-affiliated investors,25,No,M&A||Leadership Change||Major Contract,60233000000,8580000000,51653000000,3,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk,Mixed,Ernst & Young LLP,57
"MainStreet Bancshares, Inc.","10089 Fairfax Boulevard, Fairfax, VA 22030",MNSB,Finance||Real Estate||Technology,Elizabeth S. Bennett||Charles C. Brockett||Thomas J. Chmelik||Rafael DeLeon||Jeff W. Dick||Russell Echlov||Darrell Green||Paul Thomas Haddock||Abdul Hersiburane||Patsy I. Rust||Terry M. Saeger,Jeff W. Dick||Thomas J. Chmelik||Abdul Hersiburane,83845000,26674000,172245000,1925751000,130600000,198282000,3.26,0.25,,,Yes,Major Contract||Leadership Change||Other,83845000,26674000,39057000,2,Credit Risk||Operational Risk||Market Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk,Mixed,"Yount, Hyde & Barbour, P.C.",58
Verrica Pharmaceuticals Inc.,"44 West Gay Street, Suite 400, West Chester, PA 19380",VRCA,Healthcare,Paul B. Manning||Sean Stalfort||Craig Ballaron||Mark Prygocki||Lawrence Eichenfield||Diem Nguyen||Ted White,Ted White||Joe Bonaccorso||Gary Goldenberg||P. Terence Kohler Jr.||Chris Hayes,9032000,-24487000,0,44721000,34273000,40033000,-0.72,0,Paul B. Manning,50,No,Litigation,9032000,-24487000,30328000,1,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk,Fixed||Performance-based||Stock Option,KPMG LLP,59
"Wheeler Real Estate Investment Trust, Inc.","2529 Virginia Beach Blvd., Virginia Beach, Virginia 23452",WHLR,Real Estate||Retail,Stefani D. Carter||Saverio M Flemma||Michelle D. Bergman||Joseph D. Stilwell||Megan Parisi||Kerry G. Campbell||E.J. Borrack,M. Andrew Franklin||Crystal Plum,76645000,-8470000,482447000,684536000,28491000,51034000,-2.2,0,,,Yes,M&A||Litigation||Other,76645000,48812000,25731000,2,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk,,Cherry Bekaert LLP,60
BetMakers Technology Group Ltd,"Suite 19, Level 2, 50 Glebe Road, The Junction, NSW 2291",BET,Technology||Media,Nicholas Chan||Todd Buckingham||Simon Dulhunty||Rebekah Giles||Anna Massion,Todd Buckingham||Jake Henson||Anthony Pullin,91682000,-57879979,8391000,223060000,87550000,189286000,10.21,0,Tripp Investments Pty Ltd (Tripp Investment),11.66,Yes,Major Contract||M&A||Other,91682000,6309772,25384000,3,Operational Risk||Legal/Compliance Risk||Strategic Risk||Credit Risk||Market Risk,Mixed||Performance-based||Stock Option||Fixed,PKF(NS) Audit & Assurance Limited Partnership,61
Motability Operations Group plc,"City Gate House, 22 Southwark Bridge Road, London SE1 9HB",,Transportation||Finance||Other,Rt. Hon Sir Stephen O'Brien KBE||Chris Davies||Daniel Fairclough||Alison Hastings||Michael Hordley||Daniel Meredith Jones||Simon Minty||Ruth Owen||Ruth Prior||Peter Pritchard||Neill Thomas||Robert Whittick,Andrew Miller||Matthew Hamilton-James||Kelly-Jane Botha||Gareth Everson||Ian Goswell||Jo Pentland||Ashley Sylvester||Lisa Thomas||Julie McManus||Clare Ickringill||Damian Oton||Sarah Lewis||Lisa Witherington||Paul Durkan,6389940000,1252640000,8122510000,16121890000,1043850000,5232450000,,0,Motability Operations Group plc,,No,Leadership Change,6389940000,1784810000,4604330000,2,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk,Mixed||Performance-based||Fixed,KPMG LLP,62
"Origin Bancorp, Inc.","500 South Service Road East, Ruston, Louisiana 71270",OBNK,Finance||Real Estate||Other,"Daniel Chu||James D'Agostino, Jr.||James Davison, Jr.||Jay Dyer||A. La'Verne Edney||Meryl Farr||Richard Gallot, Jr.||Stacey Goff||Michael Jones||Gary Luffey||Farrell Malone||Drake Mills||Lori Sirman||Elizabeth Solender||Steven Taylor","Drake Mills||William Wallace, IV||M. Lance Hall||Stephen Brolly||Derek McGee||Preston Moore",326604000,87715000,840995000,9686067000,358972000,949943000,3.28,0.58,"T. Rowe Price Investment Management, Inc.",11.1,Yes,M&A||Leadership Change,326604000,87715000,200419000,1,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk,Mixed||Performance-based||Stock Option,"FORVIS, LLP (formerly BKD, LLP)",63
Jefferies Financial Group Inc.,"520 Madison Avenue, New York, New York 10022",NYSE,Finance,,Richard B. Handler|| Brian P. Friedman,5978838000,777168000,9302478000,51057683000,9703109000,10295479000,3.13,1.2,,,Yes,Restructuring,5983843000,,,2,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk,Performance-based||Stock Option,Deloitte & Touche LLP,64
"Insperity, Inc.","19001 Crescent Springs Drive, Kingwood, Texas 77339",NSP,Other,,Paul J. Sarvadi||A. Steve Arizpe||Douglas S. Sharp||Daniel D. Herink||James D. Allison,5938818000,179350000,369400000,2039261000,765896000,81275000,4.64,2.01,,,Yes,Litigation,5938818000,1011233000,4927585000,1,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk,Performance-based||Stock Option||Mixed,Ernst & Young LLP,65
archTIS Limited,"Level 3, archTIS House, 10 National Circuit, Barton ACT 2600",ASX,Technology,Miles Jakeman||Daniel Lai||Leanne Graham,Daniel Lai||Kurt Mueffelmann||Kylie Sheather||Thomas Myerscough||Leigh Rowland||Irena Mroz||Bill Belcher||Matthew Kluken,3368700,-6858000,5585000,19532000,4735000,13946000,-0.03,0,Kurt Mueffelmann,6.73,Yes,M&A||Major Contract,3368700,2375000,993000,1,Market Risk||Credit Risk||Operational Risk,Fixed||Performance-based||Stock Option||Mixed,RSM Australia Partners,66
ACRES Commercial Realty Corp.,"390 RXR Plaza, Uniondale, New York 11556",NYSE,Finance || Real Estate,Andrew Fentress || Mark S. Fogel || Karen Edwards || William B. Hart || Gary Ickowicz || Steven J. Kessler || Murray S. Levin || P. Sherrill Neff || Dawanna Williams,Mark S. Fogel || David J. Bryant || Jaclyn A. Jesberger || Eldron C. Blackwell,75170000,10426000,1867033000,2376652000,104811000,435468000,-1,0,,,Yes,Restructuring||Other,142338000,92003000,50335000,2,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk||Other,Mixed,Grant Thornton LLP,67
Armadale Capital Plc,"1 Arbrook Lane, Esher, Surrey, KT10 9EG",AIM ,Mining||Finance,Nicholas Johansen||Matt Bull ,Nicholas Johansen||Matt Bull||Timothy Jones ,0,-279544,0,9826110,1419432,9721620,-0.000543,0,Interactive Investor Services Clients,14.1,Yes,Other,0,-419316,419316,1,Market Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk ,Fixed,James Cowper Kreston Audit,68
AstraZeneca PLC,"1 Francis Crick Avenue, Cambridge Biomedical Campus, Cambridge CB2 0AA, United Kingdom ",LSE||STO||NASDAQ ,Healthcare || Manufacturing,Leif Johansson || Pascal Soriot || Michel Demar   || Euan Ashley || Philip Broadley || Deborah DiSanzo || Diana Layfield || Sheri McCoy || Tony Mok || Nazneen Rahman || Aradhana Sarin || Andreas Rummelt || Marcus Wallenberg,Pascal Soriot || Aradhana Sarin || Ruud Dobber || Pam Cheng || Susan Galbraith || Mene Pangalos || Leon Wang || Iskra Reic || Marc Dunoyer ,44351000000,3293000000,29232000000,96483000000,6166000000,37058000000,2.12,2.9,BlackRock Inc. ,6.51,No,M&A||Litigation||Major Contract||Leadership Change,42998000000,3757000000,41108000000,1,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk,Mixed,PricewaterhouseCoopers LLP,69
Commerzbank Aktiengesellschaft,"Kaiserplatz, 60311 Frankfurt/Main, Germany",XETRA,Finance,Helmut Gottschalk||Uwe Tsch ge||Heike Anscheit||Alexander Boursanoff||Gunnar de Buhr,Manfred Knof||Sabine Mlnarsky||Bettina Orlopp||J rg Oliveri del Castillo-Schulz||Marcus Chromik||Thomas Schaufler||Michael Kotzbauer,10926792730,1658085550,5.15676E+11,5.51516E+11,86850736000,35687337000,1.14,0.23,Federal Republic of Germany,15.6,Yes,Leadership Change||Restructuring,10927947660,,,3,Market Risk||Credit Risk||Operational Risk||Other,Mixed,KPMG AG Wirtschaftspr  fungsgesellschaft,70
SThree plc,"1st Floor, 75 King William Street, London, EC4N 7BE, United Kingdom",LSE,Technology||Other,James Bilefield||Timo Lehne||Andrew Beach||Denise Collis||Barrie Brien||Elaine O  Donnell||Imogen Joss,Timo Lehne||Andrew Beach,2207841928,72993833.4,0 (excluding IFRS 16 lease liabilities of 45383790 and 538680 bank overdraft),633493066.8,88624980.3,269867906.4,0.5521,0.2155,Kempen Capital Management,9.83,No,Leadership Change||Restructuring||Other,2020363781,525804201.3,1627931361,4,Market Risk||Strategic Risk||Credit Risk||Legal/Compliance Risk||Operational Risk||Environmental Risk,Mixed,PricewaterhouseCoopers LLP,71
Aptevo Therapeutics Inc.,"2401 4th Avenue, Suite 1050, Seattle, Washington 98121",NASDAQ,Healthcare,"Marvin L. White||John E. Niederhuber, M.D.||Daniel J. Abdun-Nabi||Grady Grant, III||Zsolt Harsanyi, Ph. D.||Barbara Lopez Kunz",Marvin L. White||Jeffrey G. Lamothe||Daphne Taylor,42796000,8027000,3456000,34215000,22635000,17974000,1.57,0,,,No,,3114000,-28641000,31755000,1,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk,Mixed,Moss Adams LLP,72
"Sonic Automotive, Inc.","4401 Colwick Road, Charlotte, North Carolina 28211",NYSE,Retail,David Bruton Smith||Jeff Dyke||William I. Belk||William R. Brooks||John W. Harris III||Michael Hodge||Keri A. Kaiser||B. Scott Smith||Marcus G. Smith||R. Eugene Taylor,David Bruton Smith||Jeff Dyke||Heath R. Byrd,14001100000,88500000,1751700000,4978300000,299200000,895200000,2.29,1.03,Sonic Financial Corporation (SFC),,Yes,M&A||Litigation,14001100000,2317000000,11684100000,3,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk,Mixed||Stock Option,KPMG LLP,73
"FNCB Bancorp, Inc.","102 E. Drinker St., Dunmore, PA 18512",NASDAQ,Finance,"William G. Bracey||Joseph Coccia||Dominick L. DeNaples||Louis A. DeNaples||Keith W. Eckel||Thomas J. Melone||Gerard A. Champi||William P. Conaboy||Joseph L. DeNaples||Louis A. DeNaples, Jr.||Kathleen McCarthy Lambert","Gerard A. Champi||James M. Bone, Jr.||Stephanie A. Westington",62025000,20445000,182360000,1745530000,41916000,118949000,1.03,0.33,,,Yes,M&A||Litigation||Other,68757000,24589000,42206000,1,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk,Mixed||Performance-based||Stock Option,"Baker Tilly US, LLP",74
"Ocugen, Inc.","11 Great Valley Parkway, Malvern, Pennsylvania 19355",NASDAQ,Healthcare,Shankar Musunuri||Ramesh Kumar||Junge Zhang||Uday Kompella||Kirsten Castillo||Prabhavathi Fernandes||Marna Whittington,Shankar Musunuri||Jessica Crespo,0,-81351000,2289000,108632000,77563000,84052000,-0.38,0,,,Yes,Litigation||Leadership Change,0,-84868000,84868000,1,Market Risk||Legal/Compliance Risk||Strategic Risk||Other,Stock Option||Performance-based,Ernst & Young LLP,75
Tellurian Inc.,"1201 Louisiana Street, Suite 3100, Houston, TX 77002",NYSE,Energy,Oct  vio M.C. Sim es||Charif Souki||Martin J. Houston||Jean P. Abiteboul||Diana Derycz-Kessler||Dillon J. Ferguson||Jonathan S. Gross||Brooke A. Peterson||Don A. Turkleson,Oct  vio M.C. Sim es||L. Kian Granmayeh||Khaled A. Sharafeldin,391926000,-49810000,557678000,1426683000,474205000,672543000,-0.09,0,,,Yes,Major Contract||Other,391926000,-17773000,169549000,3,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk,Performance-based || Stock Option,Deloitte & Touche LLP,76
Seiko Epson Corporation,"3-5, Owa 3-chome, Suwa, Nagano 392-8502, Japan",TSE,Manufacturing||Technology||Retail,Minoru Usui||Yasunori Ogawa||Koichi Kubota||Tatsuaki Seki||Hideaki Omiya||Mari Matsunaga||Masayuki Kawana||Yoshio Shirai||Susumu Murakoshi||Michiko Ohtsuka,Junichi Watanabe||Hideki Shimada||Akihiro Fukaishi||Yoshiyuki Moriyama||Nobuyuki Shimotome||Hitoshi Igarashi||Keith Kratzberg||Isamu Otsuka||Eiichi Abe||Kazuhiro Ichikawa||Keijiro Naito||Yoshifumi Yoshida||Andrea Zoeckler||Yoshiro Nagafusa||Satoru Hosono||Fuminori Suzumura||Akifumi Takei||Junkichi Yoshida||Samba Moorthy||Yoichi Yamada||Tomoo Takaso||Yasunori Yoshino||Toshiaki Miyasaka||Sunao Murata||Tsuyoshi Kitahara,9231449000,754665000,1988314000,10355875000,2741344000,5443028000,2.18,0.43,"The Master Trust Bank 
of Japan, Ltd. (Trust 
account)",22.54,No,,9248220000,732987000,5809649000,3,Market Risk||Environmental Risk||Strategic Risk||Legal/Compliance Risk,Performance-based||Fixed||Mixed||Stock Option,Ernst & Young ShinNihon LLC,77
RWE Aktiengesellschaft,"RWE Platz 1, 45141 Essen, Germany",RWEG.DE,Energy,Dr. Werner Brandt||Ralf Sikorski||Michael Bochinsky||Sandra Bossemeyer||Dr. Hans Friedrich B  nting||Matthias D  rbaum||Ute Gerbaulet||Prof. Dr.-Ing. Dr.-Ing. E. h. Hans-Peter Keitel||Mag. Dr. h. c. Monika Kircher||Thomas Kufen||Reiner van Limbeck||Harald Louis||Dagmar Paasch||Dr. Erhard Schipporeit||Dirk Schumacher||Ullrich Sierau||Hauke Stars||Helle Valentin||Dr. Andreas Wagner||Marion Weckes,Dr. Markus Krebber||Dr. Michael M  ller||Zvezdana Seeger,44337071542,3139858817,24262545406,1.60111E+11,8076730400,33840668200,4.54,1.04,BlackRock,6.47,Yes,M&A||Major Contract||Restructuring,44337071542,52827449592,39086333348,5,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk,Performance-based||Fixed||Stock Option||Mixed,PricewaterhouseCoopers GmbH Wirtschaftspr  fungsgesellschaft,78
Datalogic S.p.A.,"Lippo di Calderara di Reno, Bologna, Italy",,Manufacturing||Technology||Retail||Transportation||Healthcare,Romano Volta||Valentina Volta||Angelo Manaresi||Chiara Giovannucci Orlandi||Filippo Maria Volta||Vera Negri Zamagni||Maria Grazia Filippini||Pietro Todescato,Romano Volta||Valentina Volta,757061500,34839779,48579785,853473992,124299582,522223157,0.59,0.34,Romano Volta,,No,M&A,757061500,56777993,439587678,2,Market Risk||Operational Risk||Strategic Risk,Fixed||Performance-based||Stock Option||Mixed,Deloitte & Touche S.p.A.,79
Odyssey Gold Limited,"Level 9, 28 The Esplanade, Perth WA 6000",ODY,Mining,Ian Middlemas||Matthew Briggs||Matthew Syme||Levi Mochkin||Robert Behets,Matthew Briggs||Matthew Syme||Levi Mochkin||Steven Le Brun,11565941,-9538268,0,6549888,2256844,6480135,-0.0156,0,CITICORP NOMINEES PTY LIMITED,6.54,Yes,Leadership Change,11565941,6182266,5373674,1,Market Risk||Operational Risk||Environmental Risk||Strategic Risk||Other,Fixed||Performance-based||Stock Option||Mixed,William Buck Audit (WA) Pty Ltd,80
"Ziff Davis, Inc.","114 5th Avenue, New York, New York 10011",ZD,Technology||Healthcare,Vivek Shah||Bret Richter||Layth Taki||Sarah Fay||Trace Harris||William B. Kretzmer||Jonathan F. Miller||Scott C. Taylor,Vivek Shah||Bret Richter||Layth Taki,1390997000,69549850,1170000000,3341000000,249000000,1896000000,1.47,0,The Vanguard Group,8.7,Yes,M&A || Restructuring || Litigation,139179800,194700000,195554000,2,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk,Fixed||Performance-based||Stock Option,Deloitte & Touche LLP,81
"MongoDB, Inc.","1633 Broadway, 38th Floor, New York, NY 10019",NASDAQ,Technology,Tom Killalea,Dev Ittycheria,1284012000,-345404000,1143203000,2456638000,1822922000,1313435000,-4.95,0,Sequoia Capital,13.3,No,Leadership Change,1284012000,-345404000,950203000,1,Market Risk,Mixed,Ernst & Young LLP,82
Pintec Technology Holdings Limited,"3rd Floor, No. 11 Building, No. 109 Yard Tianjizhigu, Jinghai 3rd Street, BDA, Beijing, 101111, PRC",NASDAQ,Finance,Zexiong Huang||Qiang Wu||Xiaodong Wei||Hui Wang||Jia Zhu||Long Lin,Zexiong Huang||Xiaodong Wei||Hui Wang||Jia Zhu||Long Lin,10812000,-28498000,104280399,76679000,36422000,35831000,,0,Zexiong Huang,24.9,No,Litigation,10812000,1723000,908900,3,Market Risk,Fixed,Marcum Asia CPAs LLP,83
Aeeris Ltd,"Level 12, 225 George Street, Sydney NSW 2000",AER,Technology,Kerry Plowright||Bryce Reynolds||Nathan Young||Elissa Hansen,Kerry Plowright||James Harris||Michael Bath||Dave Evans||Kathryn Turner||Todd Harris||Martin Katzmann,2210529,-211295,0,3398960,2739215,2390872,-0.25,0,Kerry Plowright,30.8,No,Leadership Change,2210529,1217000,993529,1,Market Risk,Fixed,BDO Audit Pty Ltd,84
abrdn Japan Investment Trust plc,"Bow Bells House, 1 Bread Street, London, EC4M 9HH",TSE,Finance,Karen Brade||Claire Boyle||Sam Dean||Sir David Warren,Chern-Yeh Kwok||Hisashi Arakawa||Flavia Cheong,2708592,-14416530,14437351,136955488,358251,122065909,-1.12,0.2,1607 Capital Partners,16.6,Yes,Other,2708592,,,1,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk||Other,Fixed,KPMG LLP,85
Medallion Financial Corp.,"437 Madison Avenue, 38th Floor, New York, New York 10022",NASDAQ,Finance,Alvin Murstein||Andrew M. Murstein||John Everets||Cynthia Hallenbeck||Brent O. Hatch||Robert M. Meyer||David L. Rudnick||Allan J. Tanenbaum,Alvin Murstein||Andrew M. Murstein||Anthony N. Cutrone||Donald S. Poulton||D. Justin Haley||Steven M. Hannay,196621000,43840000,1833434000,2259879000,105598000,370524000,1.83,,,,Yes,Litigation,,,,4,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk,Mixed,Mazars USA LLP,86
Liberty Broadband Corporation,"12300 Liberty Boulevard, Englewood, Colorado 80112",NASDAQ,Telecommunications,Gregg L. Engles||John C. Malone||John E. Welsh III||Julie D. Frist||J. David Wargo||Richard R. Green||Sue Ann R. Hamilton||Gregory B. Maffei,Gregory B. Maffei||Brian J. Wendling||Albert E. Rosenthaler||Renee L. Wilm,975000000,1257000000,6641000000,15142000000,375000000,8501000000,8.01,0,John C. Malone,48.9,Yes,Litigation||Other,975000000,327000000,611000000,2,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk,Mixed,KPMG LLP,87
Kruger Products Tissue Inc.,"2 Prologis Blvd., Suite 500, Mississauga, Ontario, L5W 0G8",TSX,Manufacturing,Fran ois Vimard||James Hardy||John ('Jay') Wright||Louise Denys Wendling,Dino Bianco,1237680000,-41890000,793010000,1661120000,52580000,363040000,-0.76,0.53,Kruger Inc.,86.3,Yes,Restructuring,1237850000,91870000,1148070000,2,Market Risk||Credit Risk||Operational Risk||Strategic Risk,Not Disclosed,PricewaterhouseCoopers LLP,88
OFX Group Limited,"Level 19, 60 Margaret Street, Sydney NSW 2000, Australia",ASE,Finance,Connie Carnabuci||Cathy Kovacs||John Alexander (Skander) Malcolm||Grant Murdoch||Steven Sargent||Douglas Snedden AO,John (Skander) Malcolm||Selena Verth||Mark Shaw||Elisabeth Ellis||Elaine Herlihy||Alfred Nader||Yung Ngo||Kate Svoboda||Adam Thomas||Sarah Webb,102500000,15870000,195500000,262100000,195500000,67100000,0.065,0,Selector Funds Management Limited,11.8,Yes,M&A,102500000,28900000,67300000,3,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk,Mixed,KPMG,89
"Blue Apron Holdings, Inc.","28 Liberty Street, New York, New York 10005",NYSE,Retail,Jennifer Carr-Smith||Beverly K. Carmichael||Brenda Freeman||Elizabeth Huebner||Amit Shah,Linda Findley||Mitch Cohen,458467000,-109733000,137421000,171142000,33476000,33721000,-3.02,0,Joseph N. Sanberg and affiliates,22.3,Yes,Litigation||Restructuring||Other,458467000,153893000,304574000,1,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk,Mixed,Ernst & Young LLP,90
CoreCard Corporation,"One Meca Way, Norcross, Georgia 30093",NYSE,Technology,"J. Leland Strange||A. Russell Chandler, III||Philip H. Moise||Elizabeth W. Camp||Kathryn Petralia",J. Leland Strange||Matthew A. White,69765000,13881000,10469000,63232000,20399000,52763000,1.62,0,J. Leland Strange,15.3,Yes,Other,69765000,37101000,32664000,1,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk,Mixed,"Nichols, Cauley & Associates, LLC",91
